cntdir,co_name,tolmt,fromlmt,route,mcd,comments,lat,adb,setyear,long,recordnum,indir,report,setdate,type,mun_name,road,outdir
east,Chester,pa 29 morehall rd,little valley creek bridge,0,4202922056,,40.048405,7,2011,-75.524729,78361,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78361,5/11/11,Bicycle 1,East Whiteland Township,chester valley trail eastbound
east,Chester,mill la,church rd,0,4202922056,,40.048963,16,2011,-75.555832,78364,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78364,5/11/11,Bicycle 1,East Whiteland Township,chester valley trail eastbound
west,Chester,mill la,church rd,0,4202922056,,40.048963,14,2011,-75.555832,78365,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78365,5/11/11,Bicycle 1,East Whiteland Township,chester valley trail westbound
east,Chester,valley creek blvd,church farm la,0,4202984192,,40.037949,26,2011,-75.595583,78367,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78367,5/11/11,Bicycle 1,West Whiteland Township,chester valley trail eastbound
south,Philadelphia,chestnut st,market st,0,4210160103,,39.95074,324,2010,-75.156902,71287,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71287,9/9/10,Bicycle 1,Central,10th st
west,Chester,valley creek blvd,church farm la,0,4202984192,,40.037949,22,2011,-75.595583,78368,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78368,5/11/11,Bicycle 1,West Whiteland Township,chester valley trail westbound
both,Montgomery,cherry st,hickey st,0,4209154656,,40.113756,705,2011,-75.346894,81242,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81242,9/16/11,Bicycle 1,Norristown Borough,schuylkill river trail
north,Montgomery,washington st,front st,202,4209154656,Monday 09/05/2011 Labor Day Holiday,40.10952,20,2011,-75.34458,81243,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81243,8/31/11,Bicycle 1,Norristown Borough,dekalb st bridge northbound lanes + walkway
south,Montgomery,washington st,front st,202,4209154656,Monday 09/05/2011 Labor Day Holiday,40.10953,14,2011,-75.34469,81244,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81244,8/31/11,Bicycle 1,Norristown Borough,dekalb st bridge southbound lanes + walkway
north,Montgomery,main st,lafayette st,202,4209154656,Monday 09/05/2011 Labor Day Holiday,40.11359,25,2011,-75.34245,81245,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81245,9/1/11,Bicycle 1,Norristown Borough,dekalb st
south,Montgomery,main st,lafayette st,0,4209154656,Monday 09/05/2011 Labor Day Holiday,40.11424,12,2011,-75.3449,81246,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81246,9/1/11,Bicycle 1,Norristown Borough,swede st
east,Philadelphia,34th st,47th st,0,4210160110,,39.94115,5,2011,-75.205944,79163,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79163,7/7/11,Bicycle 1,University - Southwest,grays ferry ave bridge eastbound lanes
north,Philadelphia,kelly dr,poplar dr,0,4210160103,,39.970633,15,2011,-75.184808,79168,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79168,7/7/11,Bicycle 1,Central,sedgley dr northbound lanes
east,Philadelphia,30th st,dead end,0,4210160107,,39.973887,6,2011,-75.185629,79172,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79172,7/7/11,Bicycle 1,Lower North,cambridge st eastbound lane
west,Philadelphia,30th st,dead end,0,4210160107,,39.973903,6,2011,-75.185618,79173,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79173,7/7/11,Bicycle 1,Lower North,cambridge st westbound lane
south,Philadelphia,oxford st,girard ave,13,4210160107,,39.978345,1,2011,-75.189738,79175,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79175,7/8/11,Bicycle 1,Lower North,33rd st southbound lanes
north,Philadelphia,huntingdon st,cumberland st,0,4210160109,,39.977761,13,2011,-75.119083,79178,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79178,7/8/11,Bicycle 1,River Wards,aramingo ave northbound lanes
south,Philadelphia,huntingdon st,cumberland st,0,4210160109,,39.977798,19,2011,-75.119153,79179,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79179,7/8/11,Bicycle 1,River Wards,aramingo ave southbound lanes
south,Philadelphia,montgomery ave,cecil b moore ave,0,4210160107,,39.978896,87,2011,-75.153995,76344,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76344,4/22/11,Bicycle 1,Lower North,12th st
west,Philadelphia,39th st,40th st,3,4210160110,"Caution: Saturday 4/16 Rainfall of 3.11""",39.953956,308,2011,-75.201416,76310,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76310,4/15/11,Bicycle 1,University - Southwest,walnut st
south,Philadelphia,league island blvd,crescent dr,0,4210160105,Monday July 4: Independence Day Holiday,39.896876,4,2011,-75.175763,79126,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79126,6/30/11,Bicycle 1,Lower South,broad st southbound lanes
south,Philadelphia,21st st,22nd st,0,4210160112,Monday July 4: Independence Day Holiday,39.92312,24,2011,-75.182654,79134,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79134,6/29/11,Bicycle 1,South,passyunk ave southbound lanes
west,Philadelphia,home depot parking entrance,christopher columbus blvd,0,4210160112,Monday July 4: Independence Day Holiday,39.924359,11,2011,-75.142772,79145,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79145,7/1/11,Bicycle 1,South,pier 70 blvd westbound lanes
west,Burlington,kings grant dr,cr 619 tomlinson mill rd,544,3400522110,,39.862723,6,2011,-74.882126,80264,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80264,9/15/11,Bicycle 1,Evesham Township,taunton lake rd westbound lanes
south,Burlington,cr 623 himmelein rd,branin rd,541,3400545120,,39.880202,1,2011,-74.818619,80282,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80282,8/11/11,Bicycle 1,Medford Township,stokes rd southbound lanes
south,Burlington,dixontown rd,tabernacle rd,541,3400545120,,39.869426,2,2011,-74.810342,80284,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80284,8/11/11,Bicycle 1,Medford Township,stokes rd southbound lanes
west,Burlington,cr 623 taunton blvd,cr 619 willow bend rd,620,3400522110,"Monday September 5, 2011 Labor Day Holiday",39.882223,1,2011,-74.873165,80302,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80302,9/2/11,Bicycle 1,Evesham Township,e main st westbound lanes
east,Burlington,cr 541 stokes rd,cr 623 taunton blvd,620,3400545120,,39.851656,1,2011,-74.815269,80321,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80321,8/25/11,Bicycle 1,Medford Township,tuckerton rd eastbound lanes
west,Burlington,cr 541 stokes rd,cr 623 taunton blvd,620,3400545120,,39.851662,10,2011,-74.815199,80322,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80322,8/25/11,Bicycle 1,Medford Township,tuckerton rd westbound lanes
north,Burlington,cr 532 chatsworth rd,jones mill rd,563,3400582420,,39.809962,3,2011,-74.533342,80341,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80341,9/13/11,Bicycle 1,Woodland Township,main st northbound lanes
east,Burlington,cr 619 tomlinson mill rd,wescott rd,544,3400522110,,39.869762,8,2011,-74.901668,80261,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80261,9/15/11,Bicycle 1,Evesham Township,marlton pkwy eastbound lanes
west,Philadelphia,23rd st,schuylkill ave,0,4210160103,,39.95128,541,2011,-75.17997,73546,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73546,3/15/11,Bicycle 1,Central,walnut st bridge
east,Philadelphia,27th st,I 76 schuylkill expwy ramps,0,4210160103,,39.946069,593,2011,-75.184851,73558,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73558,3/14/11,Bicycle 1,Central,south st bridge eastbound lanes
south,Philadelphia,callowhill st,noble st,0,4210160103,,39.959195,119,2011,-75.155057,75981,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=75981,4/1/11,Bicycle 1,Central,10th st
south,Philadelphia,delancey pl,spruce st,0,4210160103,,39.947664,351,2011,-75.172824,73554,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73554,3/15/11,Bicycle 1,Central,19th st
south,Philadelphia,spruce st,pine st,0,4210160103,Monday 5/30 Memorial Day excluded from weekday aggregation,39.946751,83,2011,-75.169798,76346,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76346,5/26/11,Bicycle 1,Central,17th st
east,Philadelphia,9th st,10th st,0,4210160103,,39.942681,333,2013,-75.157779,103087,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=103087,8/13/13,Bicycle 1,Central,south st
west,Burlington,us 9 new york rd,cr 653 leektown rd,542,3400503370,,39.611573,1,2011,-74.48679,80364,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80364,9/14/11,Bicycle 1,Bass River Township,hammonton rd westbound lanes
east,Philadelphia,34th st,36th st,3,4210160110,"Caution: Saturday 4/16 Rainfall of 3.11""",39.955979,146,2011,-75.19279,76312,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76312,4/15/11,Bicycle 1,University - Southwest,market st eastbound lanes
east,Philadelphia,27th st,I 76 schuylkill expwy ramps,0,4210160103,,39.946114,234,2011,-75.184904,76341,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76341,4/20/11,Bicycle 1,Central,south st bridge eastbound lanes
west,Philadelphia,33rd st,34th st,0,4210160110,,39.952636,159,2012,-75.190789,81582,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81582,1/6/12,Bicycle 1,University - Southwest,walnut st
east,Philadelphia,34th st,houston hall entrance,0,4210160110,"Caution: Saturday 4/16 Rainfall of 3.11""",39.950444,501,2011,-75.192897,76317,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76317,4/13/11,Bicycle 1,University - Southwest,spruce st eastbound lane
north,Philadelphia,walnut st,locust st,0,4210160110,,39.954293,55,2011,-75.208862,76305,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76305,4/28/11,Bicycle 1,University - Southwest,43rd st
west,Philadelphia,23rd st,schuylkill ave,0,4210160103,,39.95128,577,2011,-75.17997,76323,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76323,4/21/11,Bicycle 1,Central,walnut st bridge
west,Philadelphia,27th st,I 76 schuylkill expwy ramps,0,4210160103,,39.946069,28,2011,-75.184851,76324,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76324,5/6/11,Bicycle 1,Central,south st bridge westbound lanes
north,Philadelphia,arch st,john f kennedy blvd,0,4210160103,,39.954762,192,2011,-75.169659,73552,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73552,3/18/11,Bicycle 1,Central,18th st
south,Philadelphia,kelly dr,poplar dr,0,4210160103,,39.970654,4,2011,-75.184861,79169,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79169,7/7/11,Bicycle 1,Central,sedgley dr southbound lanes
south,Philadelphia,moore st,mifflin st,0,4210160112,,39.927773,80,2011,-75.170689,81563,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81563,12/6/11,Bicycle 1,South,15th st
north,Philadelphia,wensley st,westmoreland st,0,4210160109,,39.984451,5,2011,-75.098575,81593,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81593,10/12/11,Bicycle 1,River Wards,richmond st northbound lanes
south,Philadelphia,wensley st,westmoreland st,0,4210160109,,39.984492,15,2011,-75.09862,81594,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81594,10/12/11,Bicycle 1,River Wards,richmond st southbound lanes
east,Philadelphia,37th st,us 13 38th st,0,4210160110,,39.951065,78,2011,-75.197838,81597,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81597,12/2/11,Bicycle 1,University - Southwest,spruce st eastbound lanes
north,Philadelphia,cayuga st,bristol st,0,4210160101,,40.014132,21,2011,-75.111669,81601,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81601,11/4/11,Bicycle 1,North,"""G"" st northbound lanes"
south,Philadelphia,cayuga st,bristol st,0,4210160101,,40.014169,9,2011,-75.111782,81602,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81602,11/4/11,Bicycle 1,North,"""G"" st southbound lanes"
north,Philadelphia,malta st,cayuga st,0,4210160101,,40.015113,2,2011,-75.107222,81605,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81605,11/4/11,Bicycle 1,North,"""I"" st northbound lanes"
south,Philadelphia,malta st,cayuga st,0,4210160101,,40.015155,4,2011,-75.107329,81606,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81606,11/4/11,Bicycle 1,North,"""I"" st southbound lanes"
west,Philadelphia,4th st,5th st,0,4210160103,,39.961129,237,2012,-75.145607,84464,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84464,3/9/12,Bicycle 1,Central,spring garden st westbound lanes
east,Philadelphia,krewstown rd,verree rd,0,4210160118,,40.085279,79,2012,-75.059903,84466,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84466,3/15/12,Bicycle 1,Central Northeast,pennypack trail eastbound
west,Philadelphia,krewstown rd,verree rd,0,4210160118,,40.085279,76,2012,-75.059903,84467,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84467,3/15/12,Bicycle 1,Central Northeast,pennypack trail westbound
east,Philadelphia,57th st,58th st,0,4210160111,"Monday January 16, 2012: Martin Luther King Holiday",39.968166,17,2012,-75.234466,84483,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84483,1/12/12,Bicycle 1,West,haverford ave eastbound lanes
west,Philadelphia,57th st,58th st,0,4210160111,"Monday January 16, 2012: Martin Luther King Holiday",39.968205,8,2012,-75.234461,84484,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84484,1/12/12,Bicycle 1,West,haverford ave westbound lanes
north,Philadelphia,22nd st,oxford st,0,4210160107,,39.979217,22,2011,-75.170544,81566,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81566,11/29/11,Bicycle 1,Lower North,ridge ave northbound lanes
south,Philadelphia,22nd st,oxford st,0,4210160107,,39.979198,19,2011,-75.170587,81567,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81567,11/29/11,Bicycle 1,Lower North,ridge ave southbound lanes
east,Philadelphia,us 13 33rd st,smith memorial dr,0,4210160107,,39.981946,21,2012,-75.192114,81568,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81568,2/23/12,Bicycle 1,Lower North,reservoir dr eastbound lanes
west,Philadelphia,us 13 33rd st,smith memorial dr,0,4210160107,,39.982012,18,2012,-75.19205,81569,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81569,2/23/12,Bicycle 1,Lower North,reservoir dr westbound lanes
east,Philadelphia,us 13 33rd st,reservoir dr,0,4210160107,,39.988909,1,2012,-75.189164,81571,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81571,2/23/12,Bicycle 1,Lower North,diamond st eastbound lanes
south,Philadelphia,thompson st,girard ave,0,4210160107,,39.969729,22,2011,-75.134457,81576,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81576,12/6/11,Bicycle 1,Lower North,frankford ave southbound lanes
north,Philadelphia,atlantic st,tioga st,0,4210160109,,40.000646,39,2011,-75.105742,81585,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81585,12/1/11,Bicycle 1,River Wards,kensington ave northbound lanes
north,Philadelphia,tioga st,ontario st,0,4210160109,,39.991457,42,2011,-75.100597,81589,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81589,12/1/11,Bicycle 1,River Wards,aramingo ave northbound lanes
south,Philadelphia,tioga st,ontario st,0,4210160109,,39.991527,58,2011,-75.100683,81590,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81590,10/12/11,Bicycle 1,River Wards,aramingo ave southbound lanes
east,Philadelphia,penhurst st,"""G"" st",0,4210160101,,40.019731,17,2011,-75.109974,81623,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81623,11/4/11,Bicycle 1,North,wyoming ave eastbound lanes
west,Philadelphia,penhurst st,"""G"" st",0,4210160101,,40.019787,6,2011,-75.109953,81624,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81624,11/4/11,Bicycle 1,North,wyoming ave westbound lanes
west,Philadelphia,newkirk st,dover st,0,4210160101,,40.004611,17,2011,-75.17601,81628,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81628,11/29/11,Bicycle 1,North,allegheny ave westbound lanes
east,Philadelphia,ridge ave,kelly dr,0,4210160107,,40.000202,10,2011,-75.188692,81629,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81629,9/22/11,Bicycle 1,Lower North,hunting park ave eastbound lanes
west,Philadelphia,ridge ave,kelly dr,0,4210160101,,40.000219,2,2011,-75.188788,81630,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81630,9/22/11,Bicycle 1,North,hunting park ave westbound lanes
south,Philadelphia,granite st,pratt st,0,4210160114,"Monday October 10, 2011: Columbus Day Holiday",40.012954,55,2011,-75.071527,81664,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81664,10/5/11,Bicycle 1,Lower Northeast,torresdale ave southbound lanes
north,Philadelphia,pratt st,dyre st,0,4210160114,"Monday October 10, 2011: Columbus Day Holiday",40.021892,51,2011,-75.078791,81667,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81667,10/5/11,Bicycle 1,Lower Northeast,frankford ave northbound lanes
south,Philadelphia,bloomfield ave,pennypack creek bridge,0,4210160118,,40.0891,1,2011,-75.057499,81672,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81672,12/1/11,Bicycle 1,Central Northeast,verree rd southbound lanes
west,Philadelphia,christian st,montrose st,0,4210160103,,39.942044,47,2012,-75.184928,84246,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84246,3/9/12,Bicycle 1,Central,grays ferry ave westbound lanes
east,Philadelphia,19th st,18th st,0,4210160103,"Monday January 16, 2012: Martin Luther King Holiday",39.960502,33,2012,-75.169342,84252,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84252,1/17/12,Bicycle 1,Central,callowhill st eastbound lanes
west,Philadelphia,19th st,18th st,0,4210160103,"Monday January 16, 2012: Martin Luther King Holiday",39.960529,57,2012,-75.169331,84253,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84253,1/17/12,Bicycle 1,Central,callowhill st westbound lanes
west,Philadelphia,15th st,16th st,0,4210160103,,39.962821,157,2012,-75.163822,84257,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84257,3/7/12,Bicycle 1,Central,spring garden st westbound lanes
south,Philadelphia,brown st,fairmount ave,0,4210160103,,39.966686,124,2012,-75.15665,84260,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84260,3/8/12,Bicycle 1,Central,12th st
south,Philadelphia,fairmount ave,spring garden st,0,4210160103,,39.960622,138,2012,-75.137161,84448,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84448,4/6/12,Bicycle 1,Central,christopher columbus blvd southbound lanes
west,Philadelphia,lavender st,academy rd,0,4210160116,"Monday October 10, 2011: Columbus Day Holiday",40.067628,6,2011,-75.004317,81680,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81680,10/7/11,Bicycle 1,Lower Far Northeast,grant ave westbound lanes
north,Philadelphia,placid ave,evarts st,13,4210160104,"Monday October 10, 2011: Columbus Day Holiday",40.049971,17,2011,-75.010899,81683,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81683,10/6/11,Bicycle 1,North Delaware,frankford ave northbound lanes
south,Philadelphia,placid ave,evarts st,13,4210160116,"Monday October 10, 2011: Columbus Day Holiday",40.050022,21,2011,-75.010963,81684,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81684,10/6/11,Bicycle 1,Lower Far Northeast,frankford ave southbound lanes
north,Philadelphia,westminster ave,lancaster ave,0,4210160111,,39.969282,33,2011,-75.211391,81687,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81687,9/28/11,Bicycle 1,West,belmont ave northbound lanes
west,Delaware,blunston ave,woodlawn ave,0,4204515232,,39.911658,4,2012,-75.281681,84544,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84544,3/7/12,Bicycle 1,Collingdale Borough,andrews ave westbound lane
east,Delaware,girard ave,woodlawn ave,0,4204515232,,39.914567,1,2012,-75.283891,84549,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84549,3/7/12,Bicycle 1,Collingdale Borough,bartram ave eastbound lanes
west,Delaware,girard ave,woodlawn ave,0,4204515232,,39.915388,2,2012,-75.284556,84556,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84556,3/7/12,Bicycle 1,Collingdale Borough,chestnut st westbound lanes
east,Delaware,girard ave,woodlawn ave,0,4204515232,,39.916083,1,2012,-75.284752,84561,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84561,3/6/12,Bicycle 1,Collingdale Borough,walnut st eastbound lanes
east,Delaware,clifton ave,woodlawn ave,0,4204515232,,39.917428,3,2012,-75.285334,84573,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84573,1/10/12,Bicycle 1,Collingdale Borough,spruce st eastbound lanes
east,Philadelphia,21st st,22nd st,0,4210160103,,39.967284,137,2012,-75.173084,84443,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84443,3/8/12,Bicycle 1,Central,fairmount ave eastbound lanes
west,Philadelphia,21st st,22nd st,0,4210160103,,39.967326,48,2012,-75.173081,84444,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84444,1/17/12,Bicycle 1,Central,fairmount ave westbound lanes
east,Philadelphia,pa 3 chestnut st,market st,3,4210160111,,39.96187,18,2011,-75.246992,81691,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81691,9/28/11,Bicycle 1,West,cobbs creek pkwy eastbound lanes
west,Philadelphia,pa 3 chestnut st,market st,3,4210160111,,39.961863,27,2011,-75.24689,81692,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81692,9/28/11,Bicycle 1,West,cobbs creek pkwy westbound lanes
west,Philadelphia,45th st,46th st,0,4210160110,,39.948487,28,2011,-75.213073,81696,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81696,9/28/11,Bicycle 1,University - Southwest,springfield ave westbound lanes
south,Philadelphia,33rd st,34th st,13,4210160110,,39.960317,54,2011,-75.190017,81700,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81700,9/28/11,Bicycle 1,University - Southwest,powelton ave southbound lanes
south,Philadelphia,zoological st,us 30 girard ave,13,4210160106,,39.972109,27,2011,-75.194088,81704,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81704,9/28/11,Bicycle 1,West Park,34th st southbound lanes
north,Philadelphia,aldine st,pa 73 cottman ave,13,4210160104,"Monday October 10, 2011: Columbus Day Holiday",40.03702,23,2011,-75.040014,81707,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81707,10/6/11,Bicycle 1,North Delaware,frankford ave northbound lanes
south,Philadelphia,aldine st,pa 73 cottman ave,13,4210160104,"Monday October 10, 2011: Columbus Day Holiday",40.037107,19,2011,-75.04006,81708,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81708,10/6/11,Bicycle 1,North Delaware,frankford ave southbound lanes
east,Philadelphia,84th st,86th st,0,4210160102,,39.896358,8,2011,-75.253397,81709,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81709,9/30/11,Bicycle 1,Lower Southwest,lindbergh blvd eastbound lanes
north,Philadelphia,greenway ave,woodland ave,0,4210160102,,39.921269,3,2011,-75.242196,81711,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81711,9/30/11,Bicycle 1,Lower Southwest,70th st northbound lanes
south,Philadelphia,greenway ave,woodland ave,0,4210160102,,39.92124,7,2011,-75.242277,81712,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81712,9/30/11,Bicycle 1,Lower Southwest,70th st southbound lanes
east,Philadelphia,kitchens la,mount airy ave,0,4210160108,"Monday October 10, 2011: Columbus Day Holiday",40.034211,100,2011,-75.203884,81715,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81715,10/6/11,Bicycle 1,Lower Northwest,forbidden dr eastbound
west,Philadelphia,kitchens la,mount airy ave,0,4210160108,"Monday October 10, 2011: Columbus Day Holiday",40.034318,50,2011,-75.204077,81716,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81716,10/6/11,Bicycle 1,Lower Northwest,forbidden dr westbound
east,Philadelphia,32 nd st,33rd st,3,4210160110,"Caution: Saturday 4/16 Rainfall of 3.11""",39.955502,191,2011,-75.188874,76314,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76314,4/15/11,Bicycle 1,University - Southwest,market st eastbound lanes
east,Philadelphia,32nd st,33rd st,3,4210160110,,39.955511,236,2011,-75.189137,81643,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81643,12/2/11,Bicycle 1,University - Southwest,market st eastbound lanes
west,Philadelphia,32nd st,33rd st,3,4210160110,,39.955601,206,2011,-75.189046,81644,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81644,12/2/11,Bicycle 1,University - Southwest,market st westbound lanes
east,Philadelphia,domino la,autumn river run,0,4210160108,,40.041037,4,2011,-75.242604,81647,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81647,9/20/11,Bicycle 1,Lower Northwest,umbria st eastbound lanes
west,Philadelphia,domino la,autumn river run,0,4210160108,,40.041078,84,2011,-75.242524,81648,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81648,9/20/11,Bicycle 1,Lower Northwest,umbria st westbound lanes
south,Philadelphia,dupont st,monastery ave,0,4210160108,,40.036154,4,2011,-75.209339,81652,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81652,9/22/11,Bicycle 1,Lower Northwest,henry ave southbound lanes
east,Philadelphia,flat rock rd,fountain st,0,4210160108,,40.033603,27,2011,-75.236017,81655,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81655,9/20/11,Bicycle 1,Lower Northwest,manayunk towpath trail north side
west,Philadelphia,flat rock rd,fountain st,0,4210160108,,40.033632,32,2011,-75.235947,81656,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81656,9/20/11,Bicycle 1,Lower Northwest,manayunk towpath trail south side
north,Philadelphia,cresson st,main st,0,4210160108,,40.016235,11,2011,-75.21012,81659,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81659,9/20/11,Bicycle 1,Lower Northwest,ridge ave northbound lanes
south,Philadelphia,cresson st,main st,0,4210160108,,40.016196,26,2011,-75.210179,81660,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=81660,9/20/11,Bicycle 1,Lower Northwest,ridge ave southbound lanes
