cntdir,co_name,tolmt,fromlmt,route,mcd,comments,lat,adb,setyear,long,recordnum,indir,report,setdate,type,mun_name,road,outdir
south,Mercer,dutch neck rd / oak la,summit st,571,3402131620,,40.271108,29,2015,-74.533031,112550,S,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112550,5/12/15,Bicycle 2,Hightstown Borough,stockton st southbound lanes,N
north,Camden,s park ave,cr 654 prospect ridge blvd,168,3400728800,,39.876334,23,2014,-75.083764,112601,N,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112601,9/24/14,Bicycle 2,Haddon Heights Borough,black horse pk northbound lanes,S
east,Camden,shady side ave,pinelawn ave,702,3400740440,,39.828371,29,2014,-74.993636,112603,E,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112603,9/24/14,Bicycle 2,Lindenwold Borough,berlin ave eastbound lanes,W
west,Camden,shady side ave,pinelawn ave,702,3400740440,,39.828451,32,2014,-74.993617,112604,W,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112604,9/24/14,Bicycle 2,Lindenwold Borough,berlin ave westbound lanes,E
east,Camden,cr 612 browning rd,airport hwy,628,3400757660,Observed that most cyclists ride in the eastbound lanes,39.926629,110,2014,-75.075814,112595,E,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112595,9/3/14,Bicycle 2,Pennsauken Township,n park dr eastbound lanes,W
north,Philadelphia,lindbergh blvd,elmwood ave,0,4210160110,,39.928567,7,2014,-75.219982,114841,N,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=114841,10/23/14,Bicycle 2,University - Southwest,58th st northbound lane,S
south,Gloucester,center ave,west ave,47,3401580120,,39.868288,13,2014,-75.125249,112614,S,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112614,9/23/14,Bicycle 2,Westville Borough,delsea dr southbound lanes,N
south,Camden,cr 537 spur market st,federal st,0,3400710000,,39.944959,45,2014,-75.121315,113248,S,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=113248,11/4/14,Bicycle 2,Camden City,n 5th st,N
west,Camden,front st,riverside dr,0,3400710000,,39.943107,5,2014,-75.128219,112523,W,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112523,9/9/14,Bicycle 2,Camden City,martin luther king jr blvd westbound lanes,E
west,Camden,west st / 5th st,4th st,0,3400710000,,39.942651,9,2014,-75.122581,112527,W,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112527,9/10/14,Bicycle 2,Camden City,martin luther king jr blvd westbound lanes,E
east,Camden,cr 644 grove st,s washington ave,628,3400712280,,39.917268,6,2014,-75.037061,112532,E,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112532,9/3/14,Bicycle 2,Cherry Hill Township,II n park blvd eastbound lanes,W
north,Camden,cr 630 w collings ave,n newton lake dr,0,3400714260,,39.910885,20,2014,-75.079936,112534,N,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112534,9/10/14,Bicycle 2,Collingswood Borough,browning rd northbound lanes,S
south,Camden,cr 630 w collings ave,n newton lake dr,0,3400714260,,39.910869,16,2014,-75.08,112535,S,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112535,9/10/14,Bicycle 2,Collingswood Borough,browning rd southbound lanes,N
both,Camden,colford ave,everett ave,0,3400714260,,39.910013,99,2014,-75.077406,112536,E,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112536,9/10/14,Bicycle 2,Collingswood Borough,newton lake park trail,W
both,Camden,w 6th ave,w 5th ave,0,3400765160,,39.853037,52,2014,-75.076414,112540,N,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112540,9/11/14,Bicycle 2,Runnemede Borough,runnemede bike path,S
west,Mercer,timberlane dr,burd rd / scotch rd,623,3402133180,,40.330447,13,2015,-74.810865,112542,W,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112542,4/29/15,Bicycle 2,Hopewell Township,pennington harbourton rd westbound lanes,E
south,Mercer,wallace rd,alexander rd,0,3402180240,,40.313907,17,2015,-74.624109,112548,S,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112548,5/1/15,Bicycle 2,West Windsor Township,scott ave southbound lanes,N
